course|band|scene|sentence|speaker|audio_id|voice_id|language|duration_ms|rendered|whisper_detected|whisper_transcript
ara_eg_for_eng|early|11|12|Receptionist|b37f271f-ccd2-4f9e-89c2-a8ce862636e2|eve|ara|3576|2026-06-10|ar|  موجود على الكرت الترحيبي في أوطك إقامة سعيدة 
ara_eg_for_eng|early|11|4|Receptionist|3e0496cd-7788-4ea6-a85d-db4a6b944ad6|eve|ara|4104|2026-06-10|ar|  تمام الأوضى في الدور التالت أوضى سبعمية وتسعة 
ara_eg_for_eng|early|12|8|Pharmacist|7c6eac19-8782-4f60-b427-4a75c422b1ec|rex|ara|2736|2026-06-10|ar|  أيها مع الأكل أو بعد أحسن 
ara_eg_for_eng|early|13|1|Tourist|b1146606-2423-4827-92a0-029cba932036|xai_eve|ara|3728|2026-08-23|ar|  لو سمحت تعرف إزاي أوصل أقرب سوبر ماركت؟ 
ara_eg_for_eng|early|2|2|Passenger|f4a84c29-a82b-44e0-a982-459928c616ff|xai_rex|ara|2024|2026-08-22|ar|  لا فادي اتفضل 
ara_eg_for_eng|early|9|14|Waiter|6eb90798-9989-403a-a689-addd5df46c7f|xai_rex|ara|2760|2026-08-22|ar|  اختيار ممتاز. هجيب هد الوقتي 
ara_eg_for_eng|early|9|18|Narrator|3035753c-a920-4677-beb1-8325cfe45f09|xai_rex|ara|4094|2026-08-22|ar|  7-9-11 برتقالي بنفسجي 
ara_eg_for_eng|late|16|11|Narrator|abb74275-4a06-49b8-a0ce-5a5c53ced1cf|xai_rex|ara|6198|2026-08-22|ar|  مليون ثمانين تسعين الساعة تنين الساعة عاشرة 
ara_eg_for_eng|late|17|3|Learner|55ec0cb9-d76f-4e68-8782-94853a3fad02|xai_eve|ara|2500|2026-08-22|ar|  ممكن نحطها على الأوضى لو سمحت؟ 
ara_eg_for_eng|late|17|7|Learner|2de7c00d-6327-44fd-9a31-6f704bfaee22|xai_eve|ara|2260|2026-08-22|ar|  الجو حر النهار ده تاني 
ara_eg_for_eng|late|19|1|Learner|e4e6f2b7-4abe-4b4f-8912-ec88201e7dd3|xai_eve|ara|1242|2026-08-22|ar|  دا بيسعدني 
ara_eg_for_eng|late|21|5|Learner|f641f0f4-fcaa-412a-96fe-2e599b478767|xai_eve|ara|1560|2026-08-22|ar|  هناك على الشمال 
ara_eg_for_eng|late|22|4|Friend|515a3fe7-b5fe-4e76-b003-b642e01431bd|rex|ara|2616|2026-06-10|ar|  أنا باتكلم ببط إكفاية دلوقتي 
ara_eg_for_eng|late|22|8|Friend|75e2c560-5080-4549-acba-8870e9542dd9|rex|ara|9816|2026-06-10|ar|  المفروض تكون واثق من نفسك بالفعل أشوف إنك بتعمل أحسن ب
deu_at_for_eng|early|6|2|Anna|6fba40c2-d5c8-48ff-9660-a7d043d94cf6|xai_44c91d64|deu|2040|2026-08-08|de|  Ihus Anna. Und du? 
deu_at_for_eng|early|6|7|James|d6023223-81f3-49ea-ac69-614ecdc78109|xai_e1fc5a89|deu|3432|2026-08-08|de|  Das ist als schöne Stutt. Wo arbeitest du? 
deu_at_for_eng|early|8|7|Bartender|a27d2f0c-266d-4628-9aa9-28e8ab5dc16f|xai_e1fc5a89|deu|5880|2026-08-08|de|  Wir hoben an roten Hauswein, an weißen Hauswein oder sie kennen Erflaschen von uns hoben. 
deu_at_for_eng|late|16|7|Learner|5151fdc4-c9d1-4325-9e4a-dc93c873ff3e|xai_44c91d64|deu|1683|2026-08-24|de|  Kennen wir Zahlen? 
deu_at_for_eng|late|18|9|Learner|87adcf57-afae-4cbb-8087-c22f111d3cf0|xai_44c91d64|deu|3096|2026-08-24|de|  Tut mal leid, mein Sohn hat sein Ticket verloren. 
deu_at_for_eng|late|19|10|Learner|fbb56a2b-bad9-4b62-a4cc-dcf864ff2134|xai_44c91d64|deu|2996|2026-08-24|de|  I meckert zur Kugel Eis, bitte. 
deu_at_for_eng|late|19|11|Narrator|0717c924-0647-4efa-a06d-0b22c4d6616d|xai_e1fc5a89|deu|4600|2026-08-24|de|  5 Uhr, 7 Uhr, Mai, Juni. 
deu_at_for_eng|late|20|1|Learner|41444e55-d0bd-4f8c-a1cd-3bd257bd988c|xai_44c91d64|deu|5086|2026-08-24|de|  kann I, A, Kugel, Schoko und O ans Erdbeer hoben. 
deu_for_eng|early|2|3|Sarah|5e153716-a971-4f0e-b6ee-6b964a6e51f3|xai_3a7889066fa2|deu|1864|2026-08-22|de|  Wie weit ist es in die Stadt? 
deu_for_eng|early|6|4|Anna|3509753d-cf60-40c8-8191-5b4cb7b67048|3a7889066fa2|deu|3264|2026-06-10|de|  sehr erfreut Sie kennenzulernen. Woher kommen Sie? 
deu_for_eng|early|8|11|Bartender|f72ff912-31ef-4fd6-9c2a-99e37f9d01ec|xai_41321eb41295|deu|1844|2026-08-22|de|  Essen Sie heute Abend hier. 
deu_for_eng|late|16|10|Learner|dee19049-b28d-42b7-a71b-8bb9a25a0b66|xai_3a7889066fa2|deu|2490|2026-08-22|de|  Es tut mir leid, ich habe kein Bargeld. 
deu_for_eng|late|16|3|Learner|69e5a8a3-fe59-48d2-9008-ce5c4f427fd9|xai_3a7889066fa2|deu|2119|2026-08-22|de|  Können wir es noch einmal versuchen? 
deu_for_eng|late|16|8|Learner|a89ada90-bcc6-4621-8412-10d5a1ab8ad8|xai_3a7889066fa2|deu|1899|2026-08-22|de|  Können wir mit Karte zahlen? 
deu_for_eng|late|17|2|Learner|a0f0f398-4b48-412e-9f39-8934cb7f9b82|xai_3a7889066fa2|deu|3688|2026-08-22|de|  Wollen Sie bar, mit Karte oder auf das Zimmer zahlen? 
deu_for_eng|late|18|1|Learner|22f5c5b0-b84e-44b7-941e-dbcbe2452806|xai_3a7889066fa2|deu|1974|2026-08-22|de|  Das ist eine schlechte Idee. 
fra_for_eng|early|10|1|Customer|0ae0ef0d-52ce-431d-b592-e73cf3bbed62|xai_69smp8rm|fra|3788|2026-08-22|fr|  Excusez-moi. Est-ce que vous avez des analgésiques ? 
fra_for_eng|early|7|13|Cafe Customer 3|66e957e6-8f04-421e-a8a8-5472916f2ff7|xai_0p0rt7o1|fra|3576|2026-08-23|fr|  Bonjour ! Deux américanos et un thé s'il vous plaît. 
fra_for_eng|early|7|3|Cafe Barista|ea4bee29-06db-4d35-8567-de09926a9a0d|xai_69smp8rm|fra|2208|2026-08-23|fr|  Vous voulez un normal ou un grand ? 
fra_for_eng|late|16|10|Learner|e17f50d7-95fe-44ef-ba08-9f5d509d699b|xai_69smp8rm|fra|2355|2026-08-22|fr|  Je suis désolé, je n'ai pas d'espèces. 
fra_for_eng|late|16|2|Learner|edd33c80-9242-4ab8-8902-4d1f6d52b6b5|xai_69smp8rm|fra|4329|2026-08-22|fr|  Vous avez parlé un peu trop vite, donc je ne suis pas sûre d'avoir compris. 
fra_for_eng|late|16|4|Learner|67fea3be-8e47-48a8-b18c-8350ba0db2b3|xai_69smp8rm|fra|1423|2026-08-22|fr|  On peut voir la carte ? 
fra_for_eng|late|19|4|Learner|be4fe6c7-41ac-4ad2-913b-f322818d5b53|xai_69smp8rm|fra|1418|2026-08-22|fr|  Je peux m'asseoir ici ? 
fra_for_eng|late|19|6|Learner|d849416f-fa96-47af-82b0-cbfb19f1329d|xai_69smp8rm|fra|1839|2026-08-22|fr|  Je ne veux pas être en retard. 
hin_for_eng|early|2|3|Sarah|f1f60568-e6d9-4eaa-8a61-122d1773c958|xai_ara|hin|1824|2026-08-24|hi|  शेहर तक कितनी दूर है 
hin_for_eng|early|3|9|Barista|3a615a21-3e96-46d2-be15-b19630a104f0|xai_89q2pnko|hin|2265|2026-08-24|hi|  यह लिजे आपकी कोफी. 
hin_for_eng|early|6|3|James|4f1d8863-0a02-4315-97cc-424e54358d43|89q2pnko|hin|3600|2026-06-10|hi|  मैं जीम्स हुं आप से मिलकर खृषी हुई 
hin_for_eng|late|15|10|Learner|e53136eb-8fad-4b81-996e-6f1ea4820e25|xai_ara|hin|3240|2026-08-24|hi|  माप की जीए मैं बहुत देज नहीं बोल सकती।
hin_for_eng|late|17|6|Learner|2e5fd07e-b2fa-4aa8-a29f-dafb3528e86b|xai_ara|hin|3168|2026-08-24|hi|  हम फिर से कार्ट से भुक्तान करेंगे, क्र
hin_for_eng|late|18|7|Learner|edafc293-5352-4dbe-9fff-5dd8ba94caad|xai_ara|hin|2360|2026-08-24|hi|  क्या ये सही है क्या मैं सही हूं? 
hin_for_eng|late|18|8|Learner|9240315d-69ca-4cb8-98fe-cb9b79542807|xai_ara|hin|1896|2026-08-24|hi|  या मैं इस बारे में गलत हूँ? 
ita_for_eng|early|2|1|Sarah|8f155716-c402-4f44-bbb0-fc3ec3581501|ara|it|2544|2026-06-19|it|  Scusi, è occupato questo posto? 
ita_for_eng|early|5|1|Neighbour (10:30 pm)|78ce52e4-15d5-48cb-8fce-f14a5f586bf6|x7avnu1k|ita|3528|2026-06-10|it|  Buonasera Sara, hai avuto una giornata lunga? 
ita_for_eng|early|8|3|Bartender|8fb981c1-32cf-4289-8c18-3461117ff48e|xai_x7avnu1k|ita|4259|2026-08-22|it|  Abbiamo una "beater" e una "stout" e sono entrambe locali. 
