Original,Changed
"No estoy seguro si puedo recordar toda la oración.","No estoy segura si puedo recordar toda la oración."
"No estoy seguro si puedo ayudarte al mismo tiempo.","No estoy segura si puedo ayudarte al mismo tiempo."
"¿Estás seguro de que no te importa ayudarme?","¿Estás segura de que no te importa ayudarme?"
"No estoy seguro de cuándo estaré preparado.","No estoy segura de cuándo estaré preparada."
"Pero no estoy seguro si es verdad.","Pero no estoy segura si es verdad."
"Sí, estoy seguro que va a estar bien.","Sí, estoy segura que va a estar bien."
"No, estoy seguro de que estará bien.","No, estoy segura de que estará bien."
"Me gusta sentir como si estuviera casi preparado para ir.","Me gusta sentir como si estuviera casi preparada para ir."
"No estoy preparado para hablar con personas que no conozco todavía.","No estoy preparada para hablar con personas que no conozco todavía."
"¿Estás preparado para ir a casa en el próximo autobús?","¿Estás preparada para ir a casa en el próximo autobús?"
"No, no estoy preparado todavía, necesito un poco más de tiempo.","No, no estoy preparada todavía, necesito un poco más de tiempo."
"Sí, estoy preparado para ir tan pronto como quieras.","Sí, estoy preparada para ir tan pronto como quieras."
"No siento como si estuviera preparado para tener una conversación.","No siento como si estuviera preparada para tener una conversación."
"¿Cuándo estarás preparado para empezar?","¿Cuándo estarás preparada para empezar?"
"Debo estar preparado en unos pocos minutos.","Debo estar preparada en unos pocos minutos."
"He estado preparado desde esta mañana.","He estado preparada desde esta mañana."
"¿Cuándo crees que estarás preparado para salir?","¿Cuándo crees que estarás preparada para salir?"
"Yo habría estado preparado para buscar en otro lugar.","Yo habría estado preparada para buscar en otro lugar."
"Creo que estaré listo en menos de una hora.","Creo que estaré lista en menos de una hora."
"Estoy contento hasta ahora.","Estoy contenta hasta ahora."
"Estoy contento con cuánto he hecho en poco tiempo.","Estoy contenta con cuánto he hecho en poco tiempo."
"Estoy ocupado mañana por la noche.","Estoy ocupada mañana por la noche."
"Lo siento pero estoy demasiado ocupado hoy.","Lo siento pero estoy demasiado ocupada hoy."
"Pero estoy un poco cansado esta mañana.","Pero estoy un poco cansada esta mañana."
"Me siento bien, pero estoy comenzando a sentirme cansado.","Me siento bien, pero estoy comenzando a sentirme cansada."
"Y estoy demasiado cansado para traer una nueva.","Y estoy demasiado cansada para traer una nueva."
"Habría conducido si me hubieras dicho lo cansado que estabas.","Habría conducido si me hubieras dicho lo cansada que estabas."
"No estoy convencido de que eso sería una muy buena idea.","No estoy convencida de que eso sería una muy buena idea."
"Porque estoy preocupado de que voy a llegar tarde.","Porque estoy preocupada de que voy a llegar tarde."
"Está empezando a sentirse más fácil y estoy entusiasmado por cómo va.","Está empezando a sentirse más fácil y estoy entusiasmada por cómo va."
"Estoy sorprendido de lo rápidamente que estoy comenzando a comprender.","Estoy sorprendida de lo rápidamente que estoy comenzando a comprender."
"Ella era muy amable cuando me vio sintiéndome nervioso.","Ella era muy amable cuando me vio sintiéndome nerviosa."
"¿Has decidido cuánto estás dispuesto a pagar?","¿Has decidido cuánto estás dispuesta a pagar?"
"¿Cuánto estás dispuesto a pagar por tu billete?","¿Cuánto estás dispuesta a pagar por tu billete?"
"Eso es muy amable de tu parte y estoy agradecido a ti por ayudar.","Eso es muy amable de tu parte y estoy agradecida a ti por ayudar."
"Pero estaba equivocado.","Pero estaba equivocada."
"Cuando sea que te sientas enojado.","Cuando sea que te sientas enojada."
"No él no quería dejarme solo.","No él no quería dejarme sola."
"Quería escribir una carta a su amigo la semana pasada.","Quería escribir una carta a su amiga la semana pasada."
"Estoy de acuerdo con lo que dijiste sobre tu amigo.","Estoy de acuerdo con lo que dijiste sobre tu amiga."
"No estoy de acuerdo con lo que dijo sobre mi amigo.","No estoy de acuerdo con lo que dijo sobre mi amiga."
"Eso fue una sorpresa, porque es mi amigo.","Eso fue una sorpresa, porque es mi amiga."
"Esto era donde mi amigo quería reunirse con nosotros.","Esto era donde mi amiga quería reunirse con nosotros."
"Mi amigo solía trabajar en una oficina.","Mi amiga solía trabajar en una oficina."
"Un amigo.","Una amiga."
"Era un viejo amigo de mi padre.","Era una vieja amiga de mi padre."
"¿Has sabido de tu amigo?","¿Has sabido de tu amiga?"
"Conozco a esa mujer joven que está hablando con tu amigo.","Conozco a esa mujer joven que está hablando con tu amiga."
"Tu amigo dijo que ella no podía alcanzar la cima.","Tu amiga dijo que ella no podía alcanzar la cima."
"Tu amigo dijo que él podía girar a la izquierda.","Tu amiga dijo que él podía girar a la izquierda."
"¿Tu amigo dijo algo más?","¿Tu amiga dijo algo más?"
"Ese niño con el pelo negro enfrente de la oficina de correos.","Esa niña con el pelo negro enfrente de la oficina de correos."
"Ese niño con la camisa verde.","Esa niña con la camisa verde."
"Disfruto hacer cosas interesantes con mis amigos.","Disfruto hacer cosas interesantes con mis amigas."
"Somos amigos, y después de que terminemos me gustaría relajarme","Somos amigas, y después de que terminemos me gustaría relajarme"
"Vi a algunos amigos.","Vi a algunas amigas."
"¿Cuáles de tus amigos hablan español?","¿Cuáles de tus amigas hablan español?"
"Sí él quería ver a unos amigos viejos.","Sí él quería ver a unas amigas viejas."
"Nuestros amigos vinieron como a las seis.","Nuestras amigas vinieron como a las seis."
"Queremos volvernos más pacientes con nuestros niños.","Queremos volvernos más pacientes con nuestras niñas."
"Tuvimos que irnos porque los niños estaban cansados.","Tuvimos que irnos porque las niñas estaban cansadas."
"Ha sido encantador pasar tiempo al aire libre observando a los niños jugar.","Ha sido encantador pasar tiempo al aire libre observando a las niñas jugar."
"Frecuentemente hemos querido llevar a los niños a algún lugar un poco más cálido.","Frecuentemente hemos querido llevar a las niñas a algún lugar un poco más cálido."
"Sabía que los niños lo habían roto.","Sabía que las niñas lo habían roto."
