5	2	बात करने का अभ्यास करना	to practise speaking
5	3	बात करने का अभ्यास करूँगा	I'm going to practise speaking
25	3	क्या आप मेरी मदद करेंगे	are you going to help me
49	1	आप समझ रहे हैं	you know
49	2	बात ऐसी है	it's like this
58	1	काफ़ी शब्द	enough words
58	2	समझ लेते हैं	you understand
58	3	यह दिलचस्प हो जाता है जब	it's interesting when
78	2	आपने जो कहा	what you said
104	3	हम जो कर रहे हैं	what we're doing
111	2	इससे बदलाव आता है	it changes
111	3	हमारा दिमाग़	our brain
114	1	मुझे लग रहा है कि	I feel as if
137	1	ज़्यादा अहम है	more important
137	3	परफ़ेक्ट होना	to be perfect
144	1	उससे पहले जाग गया	woke earlier than
187	1	ख़ुश	happy
187	2	अभी तक ख़ुश हूँ	I'm happy so far
190	2	आपको आपत्ति होगी	do you mind
384	2	उससे सहमत नहीं था	couldn't agree with
393	2	हरी क़मीज़ वाला	with the green shirt
394	2	पीली ड्रेस वाली	with the yellow dress
496	2	कोई इरादा नहीं है	I'm not planning
506	2	बरसों	years
512	1	लाना	fetch
581	2	इस बारे में कि यह कैसा लगता है	about what it's like
599	1	मुझे ख़ुशी होती	I'd have been happy
599	2	ड्राइव करना	to drive
