Seed,Phrase ID,English,Italian,Issues
S080,9ab5d714-8a46-4eee-9f86-da88a4df5bcf,I'm not sure when I'll be ready.,non sono sicuro quando sarò pronto,MISSING PREP: 'non sono sicuro quando' -> needs 'non sono sicuro di quando'
S080,2be743e9-621f-4b78-b646-0085284ef642,I'm not sure when I'll be ready to speak with you.,non sono sicuro quando sarò pronto parlare con te,MISSING PREP: 'pronto pensare/parlare' -> needs 'pronto a pensare/parlare' | MISSING PREP: 'non sono sicuro quando' -> needs 'non sono sicuro di quando'
S080,f1e0ab39-eb8e-4714-9d2e-104d92938cd9,I'll be ready to speak Italian.,sarò pronto parlare italiano,MISSING PREP: 'pronto pensare/parlare' -> needs 'pronto a pensare/parlare'
S083,26b4437e-5b34-4c0c-b51e-a285795620d2,What you said about the friend?,che cosa hai detto del amico,ELISION: 'del amico' -> should be 'dell'amico'
S083,8d75abe2-a941-4ad2-98bd-8a11a05769e3,What you said about the your friend?,che cosa hai detto del tuo amico,ARTICLE: 'del tuo amico' needs review (article before possessive)
S083,6464e73f-0825-4a05-b76d-5816979621d8,You said something about the friend.,hai detto qualcosa del amico,ELISION: 'del amico' -> should be 'dell'amico'
S083,dd53f740-f86b-4187-9ad5-1e1944398386,You said something about the answer today.,hai detto qualcosa del risposta oggi,GENDER: 'del risposta' -> should be 'della risposta' (feminine)
S083,cb44c03b-73e6-44b4-b085-efc45cd010e5,You said something about the your friend.,hai detto qualcosa del tuo amico,ARTICLE: 'del tuo amico' needs review (article before possessive)
S083,38ebec34-49f9-4971-809b-dbdc2b4df5f3,I'm not sure what you said about the answer today.,non sono sicuro che cosa hai detto del risposta oggi,GENDER: 'del risposta' -> should be 'della risposta' (feminine) | MISSING CONJ: 'non sono sicuro che cosa' -> needs 'non sono sicuro di che cosa'
S083,97f39927-3631-45cb-81f3-5be3a4e740e3,I'm not sure I agree.,non sono sicuro sono d'accordo,MISSING CONJ: 'non sono sicuro sono' -> needs 'non sono sicuro se sono' OR 'non sono sicuro di essere'
S083,54aee680-4f55-4430-ae0a-e258139aa8a3,I agree with what you said about the answer.,sono d'accordo con che cosa hai detto del risposta,GENDER: 'del risposta' -> should be 'della risposta' (feminine)
