Original,Changed
"No estoy convencido de que eso sería una muy buena idea.","No estoy convencida de que eso sería una muy buena idea."
"no estoy convencido","no estoy convencida"
"no estoy convencido todavía","no estoy convencida todavía"
"no estoy convencido aquí","no estoy convencida aquí"
"no estoy convencido de esto","no estoy convencida de esto"
"no estoy convencido de que eso es bueno","no estoy convencida de que eso es bueno"
"Porque estoy preocupado de que voy a llegar tarde.","Porque estoy preocupada de que voy a llegar tarde."
"estoy preocupado de que","estoy preocupada de que"
"estoy preocupado de que voy a llegar tarde","estoy preocupada de que voy a llegar tarde"
"estoy preocupado tengo demasiado trabajo","estoy preocupada tengo demasiado trabajo"
"Creo que estaré listo en menos de una hora.","Creo que estaré lista en menos de una hora."
"creo que estaré listo","creo que estaré lista"
"creo que estaré listo para empezar","creo que estaré lista para empezar"
"creo que estaré listo en unos pocos minutos","creo que estaré lista en unos pocos minutos"
"creo que estaré listo para empezar antes de que te vayas","creo que estaré lista para empezar antes de que te vayas"
"Creo que estaré listo en menos de una hora","Creo que estaré lista en menos de una hora"
"Estás listo","Estás lista"
"Estás listo para empezar","Estás lista para empezar"
"listo","lista"
"listo ahora","lista ahora"
"estoy listo","estoy lista"
"estoy listo para empezar","estoy lista para empezar"
"estás listo para intentar","estás lista para intentar"
"estás listo para empezar ahora","estás lista para empezar ahora"
"estás listo ya","estás lista ya"
"estás listo para ir","estás lista para ir"
"estás listo para intentar eso","estás lista para intentar eso"
"estás listo para empezar ahora mismo","estás lista para empezar ahora mismo"
"Está empezando a sentirse más fácil y estoy entusiasmado por cómo va.","Está empezando a sentirse más fácil y estoy entusiasmada por cómo va."
"estoy entusiasmado por","estoy entusiasmada por"
"estoy entusiasmado por usar tu auto","estoy entusiasmada por usar tu auto"
"estoy entusiasmado por ir en autobús","estoy entusiasmada por ir en autobús"
"estoy entusiasmado por cómo está empezando a sentirse","estoy entusiasmada por cómo está empezando a sentirse"
"estoy entusiasmado por usar tu auto antes de que te vayas","estoy entusiasmada por usar tu auto antes de que te vayas"
"estoy entusiasmado por cómo está empezando a sentirse más fácil","estoy entusiasmada por cómo está empezando a sentirse más fácil"
"estoy entusiasmado por cómo va mejor que la última vez que hablamos","estoy entusiasmada por cómo va mejor que la última vez que hablamos"
"estoy entusiasmado por una buena idea","estoy entusiasmada por una buena idea"
"estoy entusiasmado por tu idea","estoy entusiasmada por tu idea"
"estoy entusiasmado por cómo tu idea está empezando a sentirse más fácil","estoy entusiasmada por cómo tu idea está empezando a sentirse más fácil"
"estoy entusiasmado por este trabajo","estoy entusiasmada por este trabajo"
"estoy entusiasmado por cómo está cambiando","estoy entusiasmada por cómo está cambiando"
"estoy entusiasmado por la forma de mi cerebro","estoy entusiasmada por la forma de mi cerebro"
"estoy entusiasmado de que te vaya tan bien","estoy entusiasmada de que te vaya tan bien"
"estoy entusiasmado cuando trabajan juntos","estoy entusiasmada cuando trabajan juntos"
"Estoy sorprendido de lo rápidamente que estoy comenzando a comprender.","Estoy sorprendida de lo rápidamente que estoy comenzando a comprender."
"estoy sorprendido de","estoy sorprendida de"
"estoy sorprendido de eso","estoy sorprendida de eso"
"estoy sorprendido de cuánto","estoy sorprendida de cuánto"
"estoy sorprendido de cuánto he aprendido","estoy sorprendida de cuánto he aprendido"
"estoy sorprendido de lo bien que estás haciendo","estoy sorprendida de lo bien que estás haciendo"
"estoy sorprendido de todo","estoy sorprendida de todo"
"estoy sorprendido de cuánto he aprendido ya","estoy sorprendida de cuánto he aprendido ya"
"estoy sorprendido de lo rápidamente que estoy comenzando a","estoy sorprendida de lo rápidamente que estoy comenzando a"
"Estoy sorprendido de que quieres comenzar ahora","Estoy sorprendida de que quieres comenzar ahora"
"Estoy sorprendido de cuándo quieres comenzar, pero estoy muy feliz con cuánto he aprendido ya","Estoy sorprendida de cuándo quieres comenzar, pero estoy muy feliz con cuánto he aprendido ya"
"Estoy sorprendido de lo que dijiste sobre tu amigo","Estoy sorprendida de lo que dijiste sobre tu amigo"
"Estoy sorprendido de lo que dijo ayer sobre eso","Estoy sorprendida de lo que dijo ayer sobre eso"
"Estoy sorprendido de lo que dijiste sobre mi amigo ayer","Estoy sorprendida de lo que dijiste sobre mi amigo ayer"
"Estoy sorprendido de cuánto he hecho en un breve tiempo","Estoy sorprendida de cuánto he hecho en un breve tiempo"
"Ella era muy amable cuando me vio sintiéndome nervioso.","Ella era muy amable cuando me vio sintiéndome nerviosa."
"me vio sintiéndome nervioso","me vio sintiéndome nerviosa"
"me vio sintiéndome nervioso antes","me vio sintiéndome nerviosa antes"
"cuando me vio sintiéndome nervioso","cuando me vio sintiéndome nerviosa"
"Ella era amable cuando me vio sintiéndome nervioso","Ella era amable cuando me vio sintiéndome nerviosa"
"Ella era muy amable cuando me vio sintiéndome nervioso","Ella era muy amable cuando me vio sintiéndome nerviosa"
"Ella era muy amable cuando me vio sintiéndome nervioso, no hay problema","Ella era muy amable cuando me vio sintiéndome nerviosa, no hay problema"
"Ella era muy amable cuando me vio sintiéndome nervioso, todo está bien","Ella era muy amable cuando me vio sintiéndome nerviosa, todo está bien"
"Ella era muy amable cuando me vio sintiéndome nervioso y estoy agradecido a ti","Ella era muy amable cuando me vio sintiéndome nerviosa y estoy agradecida a ti"
"Ella era muy amable cuando me vio sintiéndome nervioso, eso es muy amable de tu parte","Ella era muy amable cuando me vio sintiéndome nerviosa, eso es muy amable de tu parte"
"no pude responder y estaba sintiéndome nervioso esta mañana","no pude responder y estaba sintiéndome nerviosa esta mañana"
"Pude responder diferentemente cuando me vio sintiéndome nervioso","Pude responder diferentemente cuando me vio sintiéndome nerviosa"
"¿Has decidido cuánto estás dispuesto a pagar?","¿Has decidido cuánto estás dispuesta a pagar?"
"estás dispuesto a pagar","estás dispuesta a pagar"
"estás dispuesto a pagar algo","estás dispuesta a pagar algo"
"estás dispuesto a pagar por esto","estás dispuesta a pagar por esto"
"cuánto estás dispuesto a pagar","cuánto estás dispuesta a pagar"
"has decidido cuánto estás dispuesto a pagar","has decidido cuánto estás dispuesta a pagar"
"¿Cuánto estás dispuesto a pagar por tu billete?","¿Cuánto estás dispuesta a pagar por tu billete?"
"estás dispuesto a pagar mucho","estás dispuesta a pagar mucho"
"dispuesto a pagar por tu billete","dispuesta a pagar por tu billete"
"estás dispuesto a pagar por tu billete","estás dispuesta a pagar por tu billete"
"cuánto estás dispuesto a pagar por tu billete","cuánto estás dispuesta a pagar por tu billete"
"Eso es muy amable de tu parte y estoy agradecido a ti por ayudar.","Eso es muy amable de tu parte y estoy agradecida a ti por ayudar."
"estoy agradecido a ti","estoy agradecida a ti"
"no hay problema, estoy agradecido a ti","no hay problema, estoy agradecida a ti"
"estoy agradecido a ti, todo está bien","estoy agradecida a ti, todo está bien"
"estoy agradecido a ti, necesito irme","estoy agradecida a ti, necesito irme"
"estoy agradecido a ti, eso es muy amable","estoy agradecida a ti, eso es muy amable"
"estoy agradecido a ti, eso es muy amable de tu parte","estoy agradecida a ti, eso es muy amable de tu parte"
"estoy agradecido a ti, necesito irme tan temprano","estoy agradecida a ti, necesito irme tan temprano"
"estoy agradecido a ti por ayudar","estoy agradecida a ti por ayudar"
"por ayudar, estoy muy agradecido a ti","por ayudar, estoy muy agradecida a ti"
"estoy agradecido a ti por ayudar a mi amigo","estoy agradecida a ti por ayudar a mi amiga"
"por ayudar, estoy agradecido a ti, todo está bien","por ayudar, estoy agradecida a ti, todo está bien"
"estoy muy agradecido a ti por ayudar, eso es muy amable de tu parte","estoy muy agradecida a ti por ayudar, eso es muy amable de tu parte"
"Es la misma cosa, estoy agradecido a ti","Es la misma cosa, estoy agradecida a ti"
"Es la misma cosa, estoy agradecido a ti por ayudar","Es la misma cosa, estoy agradecida a ti por ayudar"
"estoy agradecido a ti por la misma cosa de la que estábamos hablando","estoy agradecida a ti por la misma cosa de la que estábamos hablando"
"la misma cosa de la que estábamos hablando, estoy muy agradecido a ti","la misma cosa de la que estábamos hablando, estoy muy agradecida a ti"
"Estoy agradecido a ti por ayudar antes","Estoy agradecida a ti por ayudar antes"
"¿Por qué no estás agradecido a tu amigo por ayudar con esto?","¿Por qué no estás agradecida a tu amiga por ayudar con esto?"
"Puedo ver que no estás feliz y estoy agradecido a ti por ayudar","Puedo ver que no estás feliz y estoy agradecida a ti por ayudar"
"Estoy agradecido a ti porque estás feliz","Estoy agradecida a ti porque estás feliz"
"Estoy agradecido a ti por ayudar porque puedo ver que estás feliz","Estoy agradecida a ti por ayudar porque puedo ver que estás feliz"
"Estoy agradecido a ti porque estás feliz y estás intentando ayudar con la misma cosa","Estoy agradecida a ti porque estás feliz y estás intentando ayudar con la misma cosa"
"Eso es muy amable de tu parte y estoy agradecido a ti por ayudar porque estás feliz","Eso es muy amable de tu parte y estoy agradecida a ti por ayudar porque estás feliz"
"Puedo ver que no estás feliz ya y estoy agradecido a ti por intentar","Puedo ver que no estás feliz ya y estoy agradecida a ti por intentar"
"Estoy agradecido a ti por nada","Estoy agradecida a ti por nada"
"Ella era muy amable, estoy agradecido a ti","Ella era muy amable, estoy agradecida a ti"
"Ella era muy amable y estoy agradecido a ti por ayudar","Ella era muy amable y estoy agradecida a ti por ayudar"
"Ella era muy amable cuando me vio sintiéndome nervioso y estoy agradecido a ti","Ella era muy amable cuando me vio sintiéndome nerviosa y estoy agradecida a ti"
"Él no era muy paciente cuando no pude responder pero estoy agradecido a ti por ayudar","Él no era muy paciente cuando no pude responder pero estoy agradecida a ti por ayudar"
"Esto no es muy difícil y estoy agradecido a ti por ayudar","Esto no es muy difícil y estoy agradecida a ti por ayudar"
"Esto no es muy difícil, entonces espero que termines pronto y estoy agradecido a ti","Esto no es muy difícil, entonces espero que termines pronto y estoy agradecida a ti"
