defect,character,track,pod_sentence_id,text,course_audio_id,s3_key
EMPTY STUB,Neighbour (8 am),English (known),cym_n_for_eng:pod-0:SC01-S001,"Good morning, Sarah!",c3afd5b7-75a0-466e-85e0-54e4c84be7ed,mastered/1410F393-4072-452E-82A0-3EC7949358F0.mp3
EMPTY STUB,Neighbour,English (known),cym_n_for_eng:pod-0:SC01-S003,"I'm very well, thank you. Are you going to work?",e5488e69-04cf-4da3-8a98-060f4fac738c,mastered/96E452B8-F1EE-4FC2-9DF0-D15C6F8FA847.mp3
EMPTY STUB,Friend (7 pm),English (known),cym_n_for_eng:pod-0:SC04-S001,"Hello, good evening!",74654b75-2667-40b0-9d2b-ac402124c4fd,mastered/FB78F603-B92C-4A22-BEE1-7297EE37360B.mp3
EMPTY STUB,Friend,English (known),cym_n_for_eng:pod-0:SC04-S003,"No, I'm sorry, I'm busy tomorrow. But let's talk on Saturday. See you then.",0b2e33bf-b8cd-48cf-97d8-fd50616c8ccc,mastered/B2C3CC64-DDAB-4E19-9F54-C410385425B6.mp3
EMPTY STUB,Neighbour (10:30 pm),English (known),cym_n_for_eng:pod-0:SC05-S001,"Good evening, Sarah. Did you have a long day?",188d7001-0ae2-4f4b-8e94-4200eb6f068a,mastered/18D21E81-7A6C-48E0-9C4F-7A0D24152934.mp3
EMPTY STUB,James,English (known),cym_n_for_eng:pod-0:SC06-S001,Excuse me. Hello. What's your name?,8b336939-d3e9-42e9-a802-f1a047cd72c8,mastered/23F03DD7-133A-49F8-860A-8F2575ACEE60.mp3
EMPTY STUB,James,English (known),cym_n_for_eng:pod-0:SC06-S003,I'm James. Pleased to meet you.,0bb1cd5b-7e87-4f27-bda4-eb3520f6f055,mastered/904B5DD6-BFED-4F35-8B72-F3A29DDC64FA.mp3
EMPTY STUB,James,English (known),cym_n_for_eng:pod-0:SC06-S005,"I'm from Manchester, but I live in London now. And you?",e6f5f543-782d-4ee6-8986-a05ee251af33,mastered/5F4ADFD9-52CE-413D-B084-673C05CD1F39.mp3
EMPTY STUB,James,English (known),cym_n_for_eng:pod-0:SC06-S007,This is a lovely city. What do you do?,862edee8-2b71-4060-b185-8870d50bbe97,mastered/D3BED36B-7E8D-41E3-9FB1-65CC2210CDEF.mp3
EMPTY STUB,James,English (known),cym_n_for_eng:pod-0:SC06-S009,"I'm sorry, I didn't understand you. I'm learning Northern Welsh. Could you say that again more slowly?",ab342ff2-b7df-4865-ac62-8d1bc47c1981,mastered/32585E2C-6F79-471F-89D2-CEA23C12DF55.mp3
EMPTY STUB,James,English (known),cym_n_for_eng:pod-0:SC06-S011,"I teach English, but not in a school. I work with adults. I'm on holiday here with my wife and children. We're having a lovely time.",954d6223-62c8-4189-832b-7cb404abad0c,mastered/B5CAFADC-B7CC-48AA-856E-FEFCBF575790.mp3
clipped,Neighbour (8 am),Welsh (target),cym_n_for_eng:pod-0:SC01-S001,"Bore da, Sarah!",3c2d90c2-0af7-41d3-bdea-893e0bf57d95,mastered/CAB438EF-0456-4594-A761-C0E47998431B.mp3
clipped,Neighbour,Welsh (target),cym_n_for_eng:pod-0:SC01-S003,"Dw i'n dda iawn, diolch. Wyt ti'n mynd i'r gwaith?",215e1c95-2ffe-4eae-8487-bdaaae15a36b,mastered/49A01C6E-B6C8-44AB-BFCB-A18E3ACDDC43.mp3
clipped,Friend (7 pm),Welsh (target),cym_n_for_eng:pod-0:SC04-S001,"Helo, noswaith dda!",ae2c0fd1-1009-457a-84e3-7d5d97a917ea,mastered/75029689-6561-4913-B580-EE8CD3F76F54.mp3
clipped,Neighbour (10:30 pm),Welsh (target),cym_n_for_eng:pod-0:SC05-S001,"Noswaith dda, Sarah. Gest ti ddiwrnod hir?",27e1223f-a157-40ee-a2ee-680c3ae02295,mastered/75E4BED0-DF7C-4943-AF81-17E716F225A9.mp3
clipped,James,Welsh (target),cym_n_for_eng:pod-0:SC06-S001,Esgusodwch fi. Helo. Be 'di'ch enw chi?,1b81bd56-18e2-4589-a66d-a55ae264ef46,mastered/4821EA41-83DB-4B7F-A3D3-E799A25AC052.mp3
