defect,character,track,pod_sentence_id,text,course_audio_id,s3_key
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC01-S002,Good morning. How are you?,99633939-63bc-42f5-8862-d0538a979939,mastered/0CB87785-D392-4F8E-95E0-D50B4A51DFE6.mp3
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC01-S004,"Yes, I've got a busy day today. I hope you have a good day. See you later.",69a49132-b5e6-4e57-8624-48fb55b7ec44,mastered/4F108D9D-EA27-4974-9A2D-13ED2C0FC5B7.mp3
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC02-S001,"Excuse me, is this seat taken?",2a47ba2d-76de-43b8-a3c8-5c0878bf4543,mastered/5C5DFCC9-EC62-483A-AA70-FB14881F09E3.mp3
EMPTY STUB,Passenger,English (known),cym_n_for_eng:pod-0:SC02-S002,"No, it's free. You're welcome to sit.",cbc81d2b-23a3-45bd-b8b5-5dc01f4f5dea,mastered/D68F1E86-FA77-4E7E-8E7F-A4E488E7D9C1.mp3
EMPTY STUB,Barista (3 pm),English (known),cym_n_for_eng:pod-0:SC03-S001,Good afternoon. What can I get you?,8d701738-d2b5-4c47-b7d8-e40a4454dfa5,mastered/16F373A0-F9B2-4938-98A4-5E9240B61DE8.mp3
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC03-S002,"Good afternoon. I'd like a coffee, please. With milk but with no sugar. To take away.",53534da1-284e-4aaa-b302-0dad3f540835,mastered/E0424E1D-00B6-4A9B-BC5C-220F5DBBCF55.mp3
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC03-S010,Thank you very much. Goodbye.,94c3ca58-b480-4b1d-a97d-f00634904488,mastered/5DA491E7-9C7A-4373-A4F3-E3A7A76F55D0.mp3
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC04-S002,Hello! I'm sorry but I can't talk at the moment. I need to go home now. Can we talk tomorrow?,330616b5-1c8a-41c3-8124-64aab2fbd641,mastered/04FE4E68-6D2B-4A6B-8D98-6396E264A202.mp3
EMPTY STUB,Sarah,English (known),cym_n_for_eng:pod-0:SC05-S002,"Yes, very. I'm very tired now. Good night. I'll see you tomorrow.",2499f4ad-0150-4f52-965e-4142964b9ae0,mastered/E5B65D31-3F8E-4344-8434-2384598F2A8E.mp3
EMPTY STUB,Anna,English (known),cym_n_for_eng:pod-0:SC06-S002,My name is Anna. And you?,4aae0a35-d807-4720-b62c-7f12bddb8acc,mastered/A8332C57-0180-4558-A822-DE62DACB909D.mp3
EMPTY STUB,Anna,English (known),cym_n_for_eng:pod-0:SC06-S004,Pleased to meet you too. Where are you from?,5f6a2d02-60aa-49cd-9d72-7d2858eed16c,mastered/BFF8C769-05FD-4780-BB0A-C15B63EC70AE.mp3
EMPTY STUB,Anna,English (known),cym_n_for_eng:pod-0:SC06-S006,I'm from France. I've been here for two years.,c8a142fd-507b-4a18-be79-3bf0c5127a48,mastered/C8C45DBA-4BB0-43A5-8B24-FE0986702595.mp3
EMPTY STUB,Anna,English (known),cym_n_for_eng:pod-0:SC06-S008,"I'm a nurse, at the hospital just round the corner. And you?",fec66844-2897-4313-a56a-5befa28d8122,mastered/E0EE35A4-D87E-42D7-82DF-71555B23A352.mp3
EMPTY STUB,Anna,English (known),cym_n_for_eng:pod-0:SC06-S010,"Yes, of course. I'm a nurse. I work at the hospital. It's near here. And what do you do?",e52c6812-15bb-4e50-87d9-05abfdbda613,mastered/87772D77-AA73-4B51-9850-4BA9AE05A7A7.mp3
EMPTY STUB,Anna,English (known),cym_n_for_eng:pod-0:SC06-S012,"How interesting. Well, lovely to meet you.",49f4d294-012a-4dd1-a2af-8433e4c571b4,mastered/9DC61FE3-069B-4724-B4D2-76207F71DB72.mp3
