course|role|declared_gender|voice|voice_gender|use_gender
ara_for_eng|_default|n|Khalid|m|m
ara_for_eng|Anna|f|Ara|f|f
ara_for_eng|Assistant|n|Eve|f|f
ara_for_eng|Barista|f|Khalid|m|CONFLICT
ara_for_eng|Bartender|m|Khalid|m|m
ara_for_eng|Customer|n|Ara|f|f
ara_for_eng|Customer 1|n|Ara|f|f
ara_for_eng|Customer 2|n|Eve|f|f
ara_for_eng|Customer 3|n|Tariq|m|m
ara_for_eng|Driver|m|Khalid|m|m
ara_for_eng|Friend|m|Khalid|m|m
ara_for_eng|Guest|m|Khalid|m|m
ara_for_eng|James|m|Khalid|m|m
ara_for_eng|Learner|n|Ara|f|f
ara_for_eng|Local|m|Khalid|m|m
ara_for_eng|Narrator|n|Layla|f|f
ara_for_eng|Neighbour|m|Khalid|m|m
ara_for_eng|Passenger|n|Ara|f|f
ara_for_eng|Pharmacist|m|Khalid|m|m
ara_for_eng|Receptionist|f|Ara|f|f
ara_for_eng|Sarah|f|Layla|f|f
ara_for_eng|Tourist|m|Tariq|m|m
ara_for_eng|Waiter|m|Khalid|m|m
lav_for_eng|_default|n|Nils|m|m
lav_for_eng|Anna|f|Everita|f|f
lav_for_eng|Assistant|n|Nils|m|m
lav_for_eng|Barista|f|Everita|f|f
lav_for_eng|Bartender|m|Nils|m|m
lav_for_eng|Customer|n|Everita|f|f
lav_for_eng|Customer 1|m|Nils|m|m
lav_for_eng|Customer 2|n|Everita|f|f
lav_for_eng|Customer 3|n|Everita|f|f
lav_for_eng|Driver|m|Nils|m|m
lav_for_eng|Friend|m|Nils|m|m
lav_for_eng|Guest|m|Nils|m|m
lav_for_eng|James|m|Nils|m|m
lav_for_eng|Learner|f|Everita|f|f
lav_for_eng|Local|m|Nils|m|m
lav_for_eng|Narrator|n|Nils|m|m
lav_for_eng|Neighbour|m|Nils|m|m
lav_for_eng|Passenger|n|Nils|m|m
lav_for_eng|Pharmacist|m|Nils|m|m
lav_for_eng|Receptionist|f|Everita|f|f
lav_for_eng|Sarah|f|Everita|f|f
lav_for_eng|Tourist|m|Nils|m|m
lav_for_eng|Waiter|m|Nils|m|m
pol_for_eng|_default|n|Mateusz|m|m
pol_for_eng|Anna|f|Aleksandra|f|f
pol_for_eng|Assistant|n|Ara|f|f
pol_for_eng|Barista|f|Eve|f|f
pol_for_eng|Bartender|m|Jakub|m|m
pol_for_eng|Customer|n|Aleksandra|f|f
pol_for_eng|Customer 1|n|Aleksandra|f|f
pol_for_eng|Customer 2|n|Ara|f|f
pol_for_eng|Customer 3|n|Mateusz|m|m
pol_for_eng|Driver|m|Mateusz|m|m
pol_for_eng|Friend|m|Mateusz|m|m
pol_for_eng|Guest|m|Mateusz|m|m
pol_for_eng|James|m|Mateusz|m|m
pol_for_eng|Learner|n|Aleksandra|f|f
pol_for_eng|Local|m|Mateusz|m|m
pol_for_eng|Narrator|n|Katarzyna|f|f
pol_for_eng|Neighbour|m|Mateusz|m|m
pol_for_eng|Passenger|n|Aleksandra|f|f
pol_for_eng|Pharmacist|m|Mateusz|m|m
pol_for_eng|Receptionist|f|Aleksandra|f|f
pol_for_eng|Sarah|f|Katarzyna|f|f
pol_for_eng|Tourist|m|Jakub|m|m
pol_for_eng|Waiter|m|Mateusz|m|m
por_for_eng|_default|n|Rex|m|m
por_for_eng|Anna|f|Eve|f|f
por_for_eng|Assistant|n|Rex|m|m
por_for_eng|Barista|f|Sal|m|CONFLICT
por_for_eng|Bartender|m|Sal|m|m
por_for_eng|Customer|n|Eve|f|f
por_for_eng|Customer 1|n|Eve|f|f
por_for_eng|Customer 2|n|Rex|m|m
por_for_eng|Customer 3|n|Ara|f|f
por_for_eng|Driver|m|Rex|m|m
por_for_eng|Friend|m|Rex|m|m
por_for_eng|Guest|m|Rex|m|m
por_for_eng|James|m|Rex|m|m
por_for_eng|Learner|n|Eve|f|f
por_for_eng|Local|m|Rex|m|m
por_for_eng|Narrator|n|Ara|f|f
por_for_eng|Neighbour|m|Rex|m|m
por_for_eng|Passenger|n|Eve|f|f
por_for_eng|Pharmacist|m|Rex|m|m
por_for_eng|Receptionist|f|Eve|f|f
por_for_eng|Sarah|f|Ara|f|f
por_for_eng|Tourist|m|Sal|m|m
por_for_eng|Waiter|m|Sal|m|m
spa_for_eng|_default|n|Manuel|m|m
spa_for_eng|Agente|n|Elvira|f|f
spa_for_eng|Ana|f|Elvira|f|f
spa_for_eng|Anna|f|Elvira|f|f
spa_for_eng|Assistant|n|Manuel|m|m
spa_for_eng|Barista|f|Elvira|f|f
spa_for_eng|Bartender|m|Manuel|m|m
spa_for_eng|Conductor|n|Manuel|m|m
spa_for_eng|Customer|n|Elvira|f|f
spa_for_eng|Customer 1|n|Elvira|f|f
spa_for_eng|Customer 2|n|Manuel|m|m
spa_for_eng|Customer 3|n|Manuel|m|m
spa_for_eng|Dani|m|Manuel|m|m
spa_for_eng|Driver|m|Manuel|m|m
