Original,Changed
"no estoy seguro","no estoy segura"
"No estoy seguro si","No estoy segura si"
"No estoy seguro de cuándo","No estoy segura de cuándo"
"estoy seguro de","estoy segura de"
"Pero no estoy seguro","Pero no estoy segura"
"estaba seguro de","estaba segura de"
"estoy seguro de que","estoy segura de que"
"estuviera casi preparado","estuviera casi preparada"
"cuándo estaré preparado","cuándo estaré preparada"
"no estoy preparado","no estoy preparada"
"no estoy preparado para","no estoy preparada para"
"no estoy preparado todavía","no estoy preparada todavía"
"estoy preparado","estoy preparada"
"estoy preparado para ir","estoy preparada para ir"
"como si estuviera preparado","como si estuviera preparada"
"habría estado preparado","habría estado preparada"
"creo que estaré listo","creo que estaré lista"
"Estoy contento","Estoy contenta"
"Estoy contento con cuánto he hecho","Estoy contenta con cuánto he hecho"
"Estoy ocupado","Estoy ocupada"
"estoy demasiado ocupado","estoy demasiado ocupada"
"estoy un poco cansado","estoy un poco cansada"
"estoy comenzando a sentirme cansado","estoy comenzando a sentirme cansada"
"estoy demasiado cansado","estoy demasiado cansada"
"no estoy convencido","no estoy convencida"
"estoy preocupado de que","estoy preocupada de que"
"estoy entusiasmado por","estoy entusiasmada por"
"estoy sorprendido de","estoy sorprendida de"
"me vio sintiéndome nervioso","me vio sintiéndome nerviosa"
"estoy agradecido a ti","estoy agradecida a ti"
"estaba equivocado","estaba equivocada"
"dejarme solo","dejarme sola"
