# gle_mu_for_eng — Munster (Kerry) seeds authored by job #545
# seed<TAB>English<TAB>Munster   — spec: docs/gle-mu/munster-kerry-dialect-spec.md
# corrected 2026-08-20 against O Se GCD + An tOileanach: inniubh->inniu, muna->mara

1	I want to speak Irish with you now	Teastaíonn uaim Gaelainn a labhairt leat anois
2	I'm trying to learn	Táim ag iarraidh foghlaim
3	how to speak as often as possible	conas labhairt chomh minic agus is féidir
4	how to say something in Irish	conas rud éigin a rá as Gaelainn
5	I'm going to practise speaking with someone else	Táim chun labhairt a chleachtadh le duine éigin eile
6	I'm trying to remember a word	Táim ag iarraidh cuimhneamh ar fhocal
7	I want to try as hard as I can today	Teastaíonn uaim mo dhícheall a dhéanamh inniu
8	I'm going to try to explain what I mean	Táim chun iarracht a dhéanamh cad atá i gceist agam a mhíniú
9	I have a little Irish now	Tá beagán Gaelainne agam anois
10	I'm not sure if I can remember the whole sentence	Nílim cinnte an bhfuilim ábalta cuimhneamh ar an abairt ar fad
11	I'd like to be able to speak after you finish	Ba mhaith liom a bheith ábalta labhairt tar éis duit críochnú
12	I wouldn't like to guess what's going to happen tomorrow	Níor mhaith liom tomhas a dhéanamh ar cad atá chun tarlúint amárach
13	you have very good Irish	Tá Gaelainn ana-mhaith agat
14	do you speak Irish all day?	An mbíonn tú ag caint as Gaelainn ar feadh an lae?
15	and I want you to speak Irish with me tomorrow	agus teastaíonn uaim go labhrófá Gaelainn liom amárach
16	he wants to come back with everyone else later on	Teastaíonn uaidh teacht thar n-ais le gach éinne eile níos déanaí
17	she wants to find out what the answer is	Teastaíonn uaithi fáil amach cad é an freagra
18	we want to meet at six o'clock this evening	Teastaíonn uainn bualadh le chéile ar a sé a chlog tráthnóna
19	but I don't want to stop talking	ach ní theastaíonn uaim stopadh ag caint
20	you want to learn his name quickly	Teastaíonn uait a ainm a fhoghlaim go tapaidh
21	Why are you learning her name?	Cad ina thaobh go bhfuileann tú ag foghlaim a hainm?
22	because I want to meet people who have Irish	mar teastaíonn uaim bualadh le daoine go bhfuil Gaelainn acu
23	I'm going to start talking more soon	Táim chun tosnú ag caint níos mó go luath
24	I'm not going to be able to remember easily	Ní bheidh mé ábalta cuimhneamh go héasca
25	are you going to help me before I have to go?	An bhfuileann tú chun cabhrú liom sara gcaithfidh mé imeacht?
26	I like feeling as if I'm nearly ready to go	Is maith liom mothú amhail is go bhfuilim beagnach réidh chun imeacht
27	I don't like taking too much time to answer	Ní maith liom an iomarca ama a thógaint chun freagra a thabhairt
28	it's useful to start talking as soon as you can	Tá sé úsáideach tosnú ag caint chomh luath agus is féidir leat
29	I'm looking forward to speaking better as soon as I can	Táim ag tnúth le labhairt níos fearr chomh luath agus is féidir liom
30	I wanted to ask you something yesterday	Theastaigh uaim rud éigin a fhiafraí díot inné
31	you wanted to speak with me tonight	Theastaigh uait labhairt liom anocht
32	Did you want to show me something?	Ar theastaigh uait rud éigin a thaispeáint dom?
33	how long have you been learning Irish?	Cé chomh fada is atá tú ag foghlaim Gaelainne?
