el_for_eng:S0001L01B01	I want	θέλω να	f0d0a68d-c993-43dd-90fc-945c16847e7e
el_for_eng:S0001L02B01	to speak	μιλάω	c42cd1a7-26b1-448e-ac93-d4e90518fe5c
el_for_eng:S0001L02U01	I want to speak	θέλω να μιλάω	9a224d8d-2abd-423b-9609-34f8c5091d1a
el_for_eng:S0001L03B01	to speak Greek	μιλάω ελληνικά	197c7208-ec78-40e6-a107-adf12017dd17
el_for_eng:S0001L03U01	I want to speak Greek	θέλω να μιλάω ελληνικά	f7a2b36f-17b7-4e8b-a50d-68d97310e061
el_for_eng:S0001L04B01	to speak with you	μιλάω μαζί σου	d6915689-fb00-4f01-b1d7-13e26b91b9a9
el_for_eng:S0001L04U01	I want to speak Greek with you	θέλω να μιλάω ελληνικά μαζί σου	a54a05d6-538f-49eb-b6c1-b6394fee7ea2
el_for_eng:S0001L04U02	I want to speak with you	θέλω να μιλάω μαζί σου	37e9d867-7255-4081-b833-d72c39dab8f5
el_for_eng:S0001L05B01	to speak Greek now	μιλάω ελληνικά τώρα	be4ff13e-6166-4296-9c2b-d58d04e3fe95
el_for_eng:S0001L05B02	to speak with you now	μιλάω μαζί σου τώρα	92129138-ed73-474b-8641-12ef1564b47f
el_for_eng:S0001L05U01	I want to speak Greek with you now	θέλω να μιλάω ελληνικά μαζί σου τώρα	61a5e802-c54b-4809-b6dc-c429265c5d55
el_for_eng:S0001L05U02	I want to speak Greek now	θέλω να μιλάω ελληνικά τώρα	1dc0fa65-3ef5-4c56-8bd6-c5beb7154be9
el_for_eng:S0001L05U03	I want to speak with you now	θέλω να μιλάω μαζί σου τώρα	b71b894f-7741-425e-b286-5f2a5d38efd0
el_for_eng:S0001L05U04	I want to speak now	θέλω να μιλάω τώρα	c91e335d-aeb4-4678-9436-a85b044ba967
el_for_eng:S0001L05U05	I want to speak with you in Greek now	θέλω να μιλάω μαζί σου ελληνικά τώρα	858f6c21-b420-4789-a6f1-616707e4c8e8
el_for_eng:S0002L01B01	I'm trying to speak	προσπαθώ να μιλάω	444f450a-4936-4b63-97f0-7f07bb6031bc
el_for_eng:S0002L01U01	I'm trying to speak Greek with you	προσπαθώ να μιλάω ελληνικά μαζί σου	4ef4c8d2-8521-4dee-906c-977688e19b99
el_for_eng:S0002L01U02	I'm trying to speak Greek now	προσπαθώ να μιλάω ελληνικά τώρα	d0c62fe1-8d04-4565-a40a-0c2ae120921c
el_for_eng:S0002L01U03	I'm trying to speak with you now	προσπαθώ να μιλάω μαζί σου τώρα	41d65a73-becf-48b8-8c2f-ff2e3f1d9c2f
el_for_eng:S0002L02B01	I'm trying to learn	προσπαθώ να μάθω	eeb1a96a-e17a-4a4e-a93a-41848afd0781
el_for_eng:S0002L02B02	I want to learn	θέλω να μάθω	c3f37ff9-f195-48fe-b6fd-84eede06dac0
el_for_eng:S0002L02B03	I'm trying to learn Greek	προσπαθώ να μάθω ελληνικά	1efcad3a-069b-432a-af24-28e03fa8edc2
el_for_eng:S0002L02U01	I want to learn Greek with you	θέλω να μάθω ελληνικά μαζί σου	c064871f-5051-4d2d-9f5d-0b74ff891e40
el_for_eng:S0002L02U02	I'm trying to learn Greek now	προσπαθώ να μάθω ελληνικά τώρα	406df94f-a5b0-45a8-bc1d-fa5df6831114
el_for_eng:S0002L02U03	I'm trying to learn Greek with you now	προσπαθώ να μάθω ελληνικά μαζί σου τώρα	cd0bfe2c-cc5b-4f95-8b94-3737db8740f7
el_for_eng:S0002L02U04	I want to learn Greek now	θέλω να μάθω ελληνικά τώρα	adb9fd55-848c-4027-8263-55302d560136
el_for_eng:S0002L02U05	I want to learn Greek with you now	θέλω να μάθω ελληνικά μαζί σου τώρα	42104632-ba8c-4d60-b7e1-4bca4344cb78
el_for_eng:S0003L01B01	how to speak	πώς να μιλάω	a358638e-529b-4769-b47c-a81cf9ca2bbb
el_for_eng:S0003L01B02	how to learn	πώς να μάθω	653949f9-d7a2-40cb-9101-8bbca6e5f919
